Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-12-04,42650,42900,41900,42150,14347746,-0.0254335260115606,36.55172413793104,0.2880894687791239,0
2018-12-05,40900,41750,40850,41450,12631983,-0.0166073546856464,32.05128205128206,0.2210610932475884,0
2018-12-06,40600,41100,40450,40500,14251826,-0.0229191797346199,29.41176470588236,0.2038281473932291,1
2018-12-07,40900,41400,40850,40950,11433083,0.011111111111111,34.30232558139535,0.4096707895126647,0
2018-12-10,40450,40650,40000,40200,14892263,-0.0183150183150183,34.705882352941174,0.4715259306473159,1
2018-12-11,40600,40700,40200,40250,10638766,0.0012437810945273,38.21656050955414,0.8124818657860925,1
2018-12-12,40250,40700,40150,40450,12024279,0.0049689440993789,37.01298701298702,0.7544440375242981,0
2018-12-13,40650,40750,40000,40000,26254646,-0.011124845488257,35.18518518518519,0.666305133767173,0
2018-12-14,40200,40200,38700,38950,19671783,-0.0262499999999999,29.608938547486037,0.3974115052290985,1
2018-12-17,38650,39600,38650,39150,11532968,0.0051347881899872,27.58620689655173,0.2998728401525918,0
2018-12-18,38300,39200,38300,38900,11042101,-0.0063856960408684,25.98870056497175,0.2420670319867461,1
2018-12-19,38900,39350,38850,39100,9942037,0.0051413881748072,27.62430939226519,0.3277436433877254,0
2018-12-20,38600,39100,38500,38650,11937617,-0.0115089514066496,30.487804878048777,0.3109410781142086,0
2018-12-21,38200,38650,38100,38650,14947080,0.0,16.17647058823529,0.0,1
2018-12-24,38500,39050,38300,38800,9729530,0.0038809831824062,21.367521367521377,0.2355276588170771,0
2018-12-26,38400,38750,38300,38350,12707675,-0.0115979381443298,22.32142857142857,0.2788082083662194,0
2018-12-27,38700,38800,38100,38250,10510643,-0.0026075619295958,26.31578947368422,0.4600398147941043,1
2018-12-28,38250,38900,38200,38700,9900267,0.0117647058823529,26.31578947368422,0.4600398147941043,1
2019-01-02,39400,39400,38550,38750,7847664,0.0012919896640826,32.09876543209876,0.7224242233450333,0
2019-01-03,38300,38550,37450,37600,12471493,-0.0296774193548386,24.271844660194176,0.3885185943242595,0
2019-01-04,37450,37600,36850,37450,14108958,-0.0039893617021277,20.58823529411765,0.2320916905444129,1
2019-01-07,38000,38900,37800,38750,12748997,0.034712950600801,39.495798319327726,1.0,0
2019-01-08,38000,39200,37950,38100,12756554,-0.016774193548387,42.34234234234234,1.0,1
2019-01-09,38650,39600,38300,39600,17452708,0.0393700787401574,53.28467153284672,1.0,1
2019-01-10,40000,40150,39600,39800,14731699,0.0050505050505049,56.61764705882353,1.0,1
2019-01-11,40350,40550,39950,40500,11661063,0.0175879396984923,59.589041095890416,1.0,0
2019-01-14,40450,40700,39850,40050,11984996,-0.011111111111111,59.589041095890416,1.0,1
2019-01-15,40050,41100,39850,41100,11492756,0.0262172284644195,64.67065868263472,1.0,1
2019-01-16,41150,41450,40700,41450,8491595,0.008515815085158,65.49707602339181,1.0,1
2019-01-17,41700,42100,41450,41950,11736903,0.0120627261761157,70.93023255813954,1.0,1
2019-01-18,42000,42400,41950,42300,11029256,0.0083432657926103,72.88135593220339,1.0,1
2019-01-21,42700,42750,41900,42750,11355701,0.0106382978723404,72.88135593220339,1.0,0
2019-01-22,42750,42850,41850,42150,9964356,-0.0140350877192982,68.08510638297872,0.908281443319879,0
2019-01-23,41350,42250,41350,42000,11071079,-0.0035587188612099,76.19047619047619,1.0,1
2019-01-24,43050,43100,42350,43050,14747623,0.0249999999999999,80.10752688172043,1.0,1
2019-01-25,44300,44750,43750,44750,22789395,0.0394889663182345,80.9278350515464,1.0,1
2019-01-28,45000,45500,44600,45050,17998914,0.0067039106145252,87.16577540106952,1.0,1
2019-01-29,45050,45500,44350,45500,16215017,0.0099889012208655,85.5421686746988,0.9468508607735098,1
2019-01-30,44800,46400,44800,46400,17505980,0.0197802197802197,86.66666666666667,0.9819010935493868,0
2019-01-31,46650,47050,46150,46150,21621145,-0.0053879310344827,83.04093567251462,0.8504231979426139,1
2019-02-01,46650,46950,46250,46350,13832454,0.0043336944745395,87.95180722891567,1.0,0
2019-02-07,46800,47100,46200,46200,15872001,-0.0032362459546925,84.45945945945945,0.844471628829959,0
2019-02-08,45700,45700,44650,44800,12689196,-0.0303030303030302,69.8224852071006,0.0874518037793475,1
2019-02-11,44500,45000,44250,45000,11125044,0.0044642857142858,68.71165644171779,0.0315377003760143,1
