Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2019-01-17,128500,130000,127500,129500,513711,0.0077821011673151474,67.9245283018868,1.0
2019-01-18,129500,131500,129500,131000,556106,0.01158301158301156,73.58490566037736,1.0
2019-01-21,132000,132000,126500,127000,657273,-0.03053435114503822,63.9344262295082,0.5908196721311476
2019-01-22,126500,128000,125000,127500,446263,0.003937007874015741,75.47169811320754,1.0
2019-01-23,128000,130000,127000,129000,422209,0.0117647058823529,74.50980392156862,0.9622367465504721
2019-01-24,128000,130000,124500,130000,778826,0.007751937984496138,72.34042553191489,0.8770685579196219
2019-01-25,127500,130000,127500,128500,535338,-0.011538461538461497,66.66666666666666,0.6543209876543209
2019-01-28,128500,130000,125500,126500,541428,-0.015564202334630295,64.0,0.5496296296296298
2019-01-29,126500,128500,126000,128000,445671,0.011857707509881354,60.869565217391305,0.4267310789049921
2019-01-30,128500,129500,126500,129500,463542,0.01171875,63.26530612244898,0.520786092214664
2019-01-31,130000,131000,128500,129500,509642,0.0,63.26530612244898,0.520786092214664
2019-02-01,129500,130000,128500,129500,392755,0.0,67.3913043478261,0.5115558310457812
2019-02-07,128500,129000,125500,126000,530165,-0.027027027027026973,46.34146341463415,0.0
2019-02-08,125500,126500,124500,125500,365392,-0.003968253968253954,42.5,0.0
2019-02-11,126000,129000,126000,127500,425879,0.015936254980079667,45.23809523809524,0.0830438040738471
2019-02-12,129000,129000,126500,128500,443035,0.007843137254901933,43.90243902439024,0.04253463135489714
2019-02-13,128500,128500,124000,124500,620173,-0.0311284046692607,43.90243902439024,0.04253463135489714
2019-02-14,123500,124000,119500,121500,1072937,-0.02409638554216864,36.95652173913044,0.0
2019-02-15,121000,121500,120000,121000,446734,-0.004115226337448541,31.818181818181827,0.0
2019-02-18,121000,122000,118500,120500,557734,-0.004132231404958664,27.906976744186053,0.0
2019-02-19,119500,120500,119000,119500,470357,-0.008298755186721962,28.57142857142857,0.01682824218035463
2019-02-20,119500,121500,119000,119000,735087,-0.004184100418409997,30.769230769230774,0.07249088939229778
2019-02-21,118500,121000,118500,120000,588691,0.008403361344537785,28.94736842105263,0.02634948446660805
2019-02-22,119500,121500,119500,121000,353516,0.008333333333333304,27.027027027027017,0.0
2019-02-25,120500,122500,120000,121000,314081,0.0,27.027027027027017,0.0
2019-02-26,121500,124000,121500,122500,781497,0.012396694214876103,32.5,0.28336177474402763
2019-02-27,128000,130000,126000,129000,1233285,0.05306122448979589,56.52173913043478,1.0
2019-02-28,127500,129000,126000,126500,946738,-0.019379844961240345,51.99999999999999,0.8466932270916333
2019-03-04,125000,126000,121000,122000,937284,-0.035573122529644285,39.99999999999999,0.4398406374501992
